species,gram,who_priority
Abiotrophia defectiva,p,0
Actinomyces naeslundii,p,0
Actinomyces oris,p,0
Bacillus anthracis,p,0
Bacillus cereus,p,0
Bacillus thuringiensis,p,0
Clostridioides difficile,p,1
Clostridium botulinum,p,0
Clostridium perfringens,p,0
Clostridium tetani,p,0
Hathewaya histolytica (Clostridium histolyticum),p,0
Corynebacterium diphtheriae,p,0
Corynebacterium jeikeium,p,0
Corynebacterium striatum,p,0
Enterococcus faecalis,p,0
Enterococcus faecium,p,0
Listeria grayi,p,0
Listeria ivanovii,p,0
Listeria monocytogenes,p,0
Staphylococcus aureus,p,1
Streptococcus agalactiae,p,0
Streptococcus anginosus,p,0
Streptococcus downei,p,0
Streptococcus dysgalactiae,p,0
Streptococcus gordonii,p,0
Streptococcus mitis,p,0
Streptococcus mutans,p,0
Streptococcus oralis,p,0
Streptococcus pneumoniae,p,0
Streptococcus pyogenes,p,0
Streptococcus sanguinis,p,0
Acinetobacter baumannii,n,1
Acinetobacter haemolyticus,n,0
Brucella abortus,n,0
Brucella melitensis,n,0
Brucella suis,n,0
Catonella morbi,n,0
Legionella bozemanae,n,0
Porphyromonas gingivalis,n,0
Salmonella enterica,n,1
Salmonella newport,n,0
Salmonella typhimurium,n,0
Vibrio alginolyticus,n,0
Vibrio parahaemolyticus,n,0